id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"Jc Stang","They are using shaming and false flags to get it done. Starbucks race hoax, Blizzard Entertainment sexual assault hoax, just to name a few.","Ugzn-7SYzGGrE0CDMfF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzn-7SYzGGrE0CDMfF4AaABAg","2021-11-07 13:38:16",0,"They are using shaming and false flags to get it done. Starbucks race hoax, Blizzard Entertainment sexual assault hoax, just to name a few.","http://www.youtube.com/channel/UC8vNLOGvxdE7L3MjVMateHQ",
2,"Kristy Tam","Cogent and well thought through","UgwRqIxlix9yZnhCz4p4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwRqIxlix9yZnhCz4p4AaABAg","2021-11-06 07:50:30",0,"Cogent and well thought through","http://www.youtube.com/channel/UCCPbUkQj676DBWhUJQQ0fFQ",
3,"jonathan ames","That\'s why all companies are cancelling everybody who\'s not an identity politics drone and being used as corporate censors. There has never been a shittier left in all the story of politics.","UgzOQaP8dinNP-cF0CB4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzOQaP8dinNP-cF0CB4AaABAg","2021-11-05 01:26:46",0,"That\'s why all companies are cancelling everybody who\'s not an identity politics drone and being used as corporate censors. There has never been a shittier left in all the story of politics.","http://www.youtube.com/channel/UCogyjYwA3T7FpP8nPK18lFQ",
4,"Fatimah Makgatho","ಠ_ಠ companies exist to solve problems in exchange for money. It\'s very simple","UgxEK-51mTf84ZaeSnZ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxEK-51mTf84ZaeSnZ4AaABAg","2021-11-04 11:33:34",0,"ಠ_ಠ companies exist to solve problems in exchange for money. It\'s very simple","http://www.youtube.com/channel/UC5szj5MqDEPJXEDPhEeW7YQ",
5,"Twey Tweyun","There are dog hotels now? Okay. We\'re officially living in a simulation.","UgwWTrxa70Rlxc7kGjV4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwWTrxa70Rlxc7kGjV4AaABAg","2021-11-04 09:26:29",0,"There are dog hotels now? Okay. We\'re officially living in a simulation.","http://www.youtube.com/channel/UCUEObJpyckAF3fk3kkEhk6w",
6,"Jim Da","This could have been a very short video if he would have just used Venezuela, the wealthiest most prosperous country in South America as an example.","Ugw7K2MhF-B74KOsUx54AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugw7K2MhF-B74KOsUx54AaABAg","2021-11-03 18:55:58",0,"This could have been a very short video if he would have just used Venezuela, the wealthiest most prosperous country in South America as an example.","http://www.youtube.com/channel/UCTXEeealbD1FyxtaPSolIRA",
7,"Jim Da","Something interesting is happening. I put in comment after comment after comment on YouTube and no one ever responds. I made 2 comments to this channel 2 weeks ago. 200 people responded to the guy above me and about the same below my comment. My comments have had zero response so I\'m wondering if they\'re even appearing to the General Public. Can you see my other two comments?.","UgwClrdFVGTuzLV0tqh4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwClrdFVGTuzLV0tqh4AaABAg","2021-11-03 17:54:12",0,"Something interesting is happening. I put in comment after comment after comment on YouTube and no one ever responds. I made 2 comments to this channel 2 weeks ago. 200 people responded to the guy above me and about the same below my comment. My comments have had zero response so I\'m wondering if they\'re even appearing to the General Public. Can you see my other two comments?.","http://www.youtube.com/channel/UCTXEeealbD1FyxtaPSolIRA",
8,"Andrew Carter","In Pericles history of the war between Athens and Sparta written 2,000 years ago he commented that wars happen every 30 years because those promoting them were too young to remember the horror of the last one. It\'s like that with socialism. It\'s only ever promoted by people who haven\'t experienced it.","UgwH7rZuZoHQuScXv4x4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwH7rZuZoHQuScXv4x4AaABAg","2021-11-02 02:11:15",0,"In Pericles history of the war between Athens and Sparta written 2,000 years ago he commented that wars happen every 30 years because those promoting them were too young to remember the horror of the last one. It\'s like that with socialism. It\'s only ever promoted by people who haven\'t experienced it.","http://www.youtube.com/channel/UCH_ymVK9QnJ6vnX53V5Ki1A",
9,"More Pressure","Illegal shell companies investing in woke garbage with stolen money to destroy our country. Higher the ESG score, the more wicked the company","Ugz-yy4Z2xI33gYbSON4AaABAg","",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugz-yy4Z2xI33gYbSON4AaABAg","2021-11-01 13:29:22",0,"Illegal shell companies investing in woke garbage with stolen money to destroy our country. Higher the ESG score, the more wicked the company","http://www.youtube.com/channel/UCv6knppE9t8OV7-dqgp_Q_Q",
10,"Tulius Lima","ESG = Essentially Socialist Gunk","UgwWDlcgQZcy8mzHNRB4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwWDlcgQZcy8mzHNRB4AaABAg","2021-11-01 06:26:58",0,"ESG = Essentially Socialist Gunk","http://www.youtube.com/channel/UCr9yD2OtvDhN2VaV8UwfqNw",
